,lyrics_row,song_name,artist_name
40,I'd be splittin' seams of denim when I'm spitting schemes,Remember the Name,50 Cent
41,"Which really means no if, ands, or buts, are squeezin' in-between",Remember the Name,50 Cent
42,You sleep on me 'cause you're only fucking living in your dreams,Remember the Name,50 Cent
43,Not even when I'm on my deathbed,Remember the Name,50 Cent
44,"Man, I feel like Ed, it isn't time to drop the mic yet",Remember the Name,50 Cent
45,So why would I quit? The thought that I would stop when I'm dead,Remember the Name,50 Cent
46,"Just popped in my head, I said it, then forgot what I said",Remember the Name,50 Cent
47,It isn't my time to call it a day,Remember the Name,50 Cent
48,I got rap locked and I'm already paid,Remember the Name,50 Cent
49,But it's 'bout time you remember the name,Remember the Name,50 Cent
50,"Ayy, ayy",Remember the Name,50 Cent
51,You know it ain't my time to call it a day,Remember the Name,50 Cent
52,I got rap locked and I'm already paid,Remember the Name,50 Cent
53,But it's 'bout time you remember the name,Remember the Name,50 Cent
54,"Ayy, ayy",Remember the Name,50 Cent
55,Ain't nobody cold as me,Remember the Name,50 Cent
56,"I dress so fresh, so clean",Remember the Name,50 Cent
57,You can find me in my whip rockin' my Fendi drip,Remember the Name,50 Cent
58,"Man, you know just what I mean (ow!)",Remember the Name,50 Cent
59,"Shinin' wrist with the rocks on it, Buscemis with locks on it",Remember the Name,50 Cent
60,"Everything my voice on, that shit knock, don't it?",Remember the Name,50 Cent
61,"Balenciaga saga, I'm in Bergdorf ballin'",Remember the Name,50 Cent
62,"It's just another episode, my hoes, I spoil 'em",Remember the Name,50 Cent
63,She like the fly shit and I like to buy shit,Remember the Name,50 Cent
64,"Shit, I'm gettin' stupid money, what else we gon' do with money?",Remember the Name,50 Cent
65,"Bitch, we be ballin' out, the king, bring me fifty bottles",Remember the Name,50 Cent
66,"Tonight we gon' blow a check, worry 'bout your shit tomorrow",Remember the Name,50 Cent
67,"The turn up is so real, we 'bout to get super lit",Remember the Name,50 Cent
68,"Boy, I'm kickin' straight facts, that's just how we do this shit",Remember the Name,50 Cent
69,Tomorrow we hangin' over 'til we start feelin' sober,Remember the Name,50 Cent
70,"Then it's time to start it over, here we go again",Remember the Name,50 Cent
71,You know it ain't my time to call it a day,Remember the Name,50 Cent
72,I got rap locked and I'm already paid,Remember the Name,50 Cent
73,And it's about time you remember the name,Remember the Name,50 Cent
74,"Ayy, ayy",Remember the Name,50 Cent
75,You know it ain't my time to call it a day,Remember the Name,50 Cent
76,I got rap locked and I'm already paid,Remember the Name,50 Cent
77,But it's 'bout time you remember the name,Remember the Name,50 Cent
78,"Ayy, ayy",Remember the Name,50 Cent
79,"Hey, hey, hey (ow!)",Remember the Name,50 Cent
80,Yeah,Yeah Yeah,50 Cent
81,Don (M-M-M-Murda),Yeah Yeah,50 Cent
82,"It's been some time, but it's worth the wait",Yeah Yeah,50 Cent
83,These other niggas tryna perpetrate,Yeah Yeah,50 Cent
84,Spreading money out in my circle and make it circulate,Yeah Yeah,50 Cent
85,They got the nerve to say that I'm forgetting 'bout niggas,Yeah Yeah,50 Cent
86,But niggas forgetting the favors I couldn't get out of niggas,Yeah Yeah,50 Cent
87,We had to work for this plan to hit,Yeah Yeah,50 Cent
88,I see him looking sideways,Yeah Yeah,50 Cent
89,So I parked on the curb to put a slant in it,Yeah Yeah,50 Cent
90,"Nothing ever handed, we got on 'cause we demanded it",Yeah Yeah,50 Cent
91,"They know who the winners, the decision is unanimous",Yeah Yeah,50 Cent
92,"I know I ain't perfect, but look I'm working",Yeah Yeah,50 Cent
93,"I could make a melody like, ""yeah, yeah""",Yeah Yeah,50 Cent
94,"We just turning up, what you really want?",Yeah Yeah,50 Cent
95,They tryna tell us that we can't go back there,Yeah Yeah,50 Cent
96,"Don't tell me you love me, show me the money",Yeah Yeah,50 Cent
97,"Where I'm from, love can go bad, yeah",Yeah Yeah,50 Cent
98,"Don't you feel alone, I go through it too",Yeah Yeah,50 Cent
99,"Now turn around, let me hear you say, ""yeah, yeah""",Yeah Yeah,50 Cent
100,"Stay ten toes down, I'm really focused",Yeah Yeah,50 Cent
101,Look who I rolled with,Yeah Yeah,50 Cent
102,Same damn gang as last year,Yeah Yeah,50 Cent
103,"If you didn't notice, niggas talk shit on some ho shit",Yeah Yeah,50 Cent
104,"'Til they hear that thing go ""blam"", yeah",Yeah Yeah,50 Cent
105,"Subliminal posting, yeah, they roast shit, they joking",Yeah Yeah,50 Cent
106,"Until we pull up on the scene like, ""yeah, yeah""",Yeah Yeah,50 Cent
107,"Everywhere we go now, they feeling cautious, they worried",Yeah Yeah,50 Cent
108,"I can make it so you can't come back, yeah",Yeah Yeah,50 Cent
109,I think we should stop the make-believing,Yeah Yeah,50 Cent
110,I be so damn fly without a reason,Yeah Yeah,50 Cent
111,I made 65 over the weekend,Yeah Yeah,50 Cent
112,I bring my whole gang to every event,Yeah Yeah,50 Cent
113,"I know I ain't perfect, but look I'm working",Yeah Yeah,50 Cent
114,"I could make a melody like, ""yeah, yeah""",Yeah Yeah,50 Cent
115,"We just turning up, what you really want?",Yeah Yeah,50 Cent
116,They tryna tell us that we can't go back there,Yeah Yeah,50 Cent
117,"Don't tell me you love me, show me the money",Yeah Yeah,50 Cent
118,"Where I'm from, love can go bad, yeah",Yeah Yeah,50 Cent
119,"Don't you feel alone, I go through it too",Yeah Yeah,50 Cent
120,"Now turn around, let me hear you say, ""yeah, yeah""",Yeah Yeah,50 Cent
121,We come from the city that's never sleep,Yeah Yeah,50 Cent
122,Stay on point or get hit up for no reason,Yeah Yeah,50 Cent
123,"My young niggas hurt them, they meant to murk 'em",Yeah Yeah,50 Cent
124,They putting work in,Yeah Yeah,50 Cent
125,"Have 'em bring it to you like, yeah, yeah",Yeah Yeah,50 Cent
126,"If that's what you want, you can get it too",Yeah Yeah,50 Cent
127,Have 'em get at you,Yeah Yeah,50 Cent
128,"Pull up with that blicky like, yeah, yeah",Yeah Yeah,50 Cent
129,"Southside to Highbridge, the live shit",Yeah Yeah,50 Cent
130,"Bali To Balmain, we out here on some fly shit",Yeah Yeah,50 Cent
131,"Different pedigree, yeah I'm from a different regime",Yeah Yeah,50 Cent
132,"On your ass, feel like I'm half man, half machine",Yeah Yeah,50 Cent
133,"When I say they don't want the smoke, they know just what I mean",Yeah Yeah,50 Cent
134,"I had they whole block take off, call it a scene",Yeah Yeah,50 Cent
135,"Yeah, we on that same bullshit, sun up to sun down",Yeah Yeah,50 Cent
136,Nigga pop out and get popped tryna run down,Yeah Yeah,50 Cent
137,"Go 'head, get popped tryna run down",Yeah Yeah,50 Cent
138,"Think a nigga bluffing, f*ck around and get gunned down",Yeah Yeah,50 Cent
139,"I know I ain't perfect, but look I'm working",Yeah Yeah,50 Cent
140,"I could make a melody like, ""yeah, yeah""",Yeah Yeah,50 Cent
141,"We just turning up, what you really want?",Yeah Yeah,50 Cent
142,They tryna tell us that we can't go back there,Yeah Yeah,50 Cent
143,"Don't tell me you love me, show me the money",Yeah Yeah,50 Cent
144,"Where I'm from, love can go bad, yeah",Yeah Yeah,50 Cent
145,"Don't you feel alone, I go through it too",Yeah Yeah,50 Cent
146,"Now turn around, let me hear you say, ""yeah, yeah""",Yeah Yeah,50 Cent
147,"Go, go, go, go go, go, go, shawty",In Da Club,50 Cent
148,It's your birthday,In Da Club,50 Cent
149,We gon' party like it's yo birthday,In Da Club,50 Cent
150,We gon' sip Bacardi like it's your birthday,In Da Club,50 Cent
151,And you know we don't give a f*ck,In Da Club,50 Cent
152,It's not your birthday!,In Da Club,50 Cent
153,"You can find me in the club, bottle full of bub",In Da Club,50 Cent
154,Look mami I got the X if you into taking drugs,In Da Club,50 Cent
155,"I'm into having sex, I ain't into making love",In Da Club,50 Cent
156,So come give me a hug if you into to getting rubbed,In Da Club,50 Cent
157,"You can find me in the club, bottle full of bub",In Da Club,50 Cent
158,Look mami I got the X if you into taking drugs,In Da Club,50 Cent
159,"I'm into having sex, I ain't into making love",In Da Club,50 Cent
160,So come give me a hug if you into to getting rubbed,In Da Club,50 Cent
161,"When I pull out up front, you see the Benz on dubs",In Da Club,50 Cent
162,"When I roll twenty deep, it's twenty knives in the club",In Da Club,50 Cent
163,"Niggas heard I f*ck with Dre, now they want to show me love",In Da Club,50 Cent
164,"When you sell like Eminem, and the hoes they want to f*ck",In Da Club,50 Cent
165,"But homie ain't nothing change hold down, G's up",In Da Club,50 Cent
166,I see Xzibit in the Cutt that nigga roll that weed up,In Da Club,50 Cent
167,If you watch how I move you'll mistake me for a player or pimp,In Da Club,50 Cent
168,Been hit wit a few shells but I don't walk wit a limp,In Da Club,50 Cent
169,"In the hood then the ladies saying ""50 you hot""",In Da Club,50 Cent
170,"They like me, I want them to love me like they love 'Pac",In Da Club,50 Cent
171,But holla in New York them niggas'll tell ya I'm loco,In Da Club,50 Cent
172,And the plan is to put the rap game in a choke hold,In Da Club,50 Cent
173,"I'm feelin' focused man, my money on my mind",In Da Club,50 Cent
174,I got a mill out the deal and I'm still on the grind,In Da Club,50 Cent
175,"Now shawty said she feeling my style, she feeling my flow",In Da Club,50 Cent
176,Her girlfriend want to get bi and they ready to go,In Da Club,50 Cent
177,"You can find me in the club, bottle full of bub",In Da Club,50 Cent
178,Look mami I got the X if you into taking drugs,In Da Club,50 Cent
179,"I'm into having sex, I ain't into making love",In Da Club,50 Cent
180,So come give me a hug if you into to getting rubbed,In Da Club,50 Cent
181,"You can find me in the club, bottle full of bub",In Da Club,50 Cent
182,Look mami I got the X if you into taking drugs,In Da Club,50 Cent
183,"I'm into having sex, I ain't into making love",In Da Club,50 Cent
184,So come give me a hug if you into to getting rubbed,In Da Club,50 Cent
185,"My flow, my show brought me the dough",In Da Club,50 Cent
186,That bought me all my fancy things,In Da Club,50 Cent
187,"My crib, my cars, my pools, my jewels",In Da Club,50 Cent
188,"Look, nigga, I came up and I ain't changed",In Da Club,50 Cent
189,"And you should love it, way more then you hate it",In Da Club,50 Cent
190,Nigga you mad? I thought that you'd be happy I made it,In Da Club,50 Cent
191,I'm that cat by the bar toasting to the good life,In Da Club,50 Cent
192,You that fagot ass nigga trying to pull me back right?,In Da Club,50 Cent
193,When my junk get to pumping in the club it's on,In Da Club,50 Cent
194,"I wink my eye at ya bitch, if she smiles she gone",In Da Club,50 Cent
195,"If the roof on fire, let the motherfucker burn",In Da Club,50 Cent
196,"If you talking bout money homie, I ain't concerned",In Da Club,50 Cent
197,I'm a tell you what Banks told me cause go 'head switch the style up,In Da Club,50 Cent
198,If the niggas hate then let 'em hate,In Da Club,50 Cent
199,Watch the money pile up,In Da Club,50 Cent
200,Or we go upside there wit a bottle of bub,In Da Club,50 Cent
201,You know where we fucking be,In Da Club,50 Cent
202,"You can find me in the club, bottle full of bub",In Da Club,50 Cent
203,Look mami I got the X if you into taking drugs,In Da Club,50 Cent
204,"I'm into having sex, I ain't into making love",In Da Club,50 Cent
205,So come give me a hug if you into to getting rubbed,In Da Club,50 Cent
206,"You can find me in the club, bottle full of bub",In Da Club,50 Cent
207,Look mami I got the X if you into taking drugs,In Da Club,50 Cent
208,"I'm into having sex, I ain't into making love",In Da Club,50 Cent
209,So come give me a hug if you into to getting rubbed,In Da Club,50 Cent
210,"Don't try to act like you ain't know where we been either, nigga",In Da Club,50 Cent
211,"In the club all the time, nigga, so it's a problem pop off, nigga, G-Unit!",In Da Club,50 Cent
212,I know I ain't supposed to smoke in here,I Get High,50 Cent
213,But Mr. Bouncer man don't put your motherfuckin' hands on me,I Get High,50 Cent
214,Can I get high without you botherin' me?,I Get High,50 Cent
215,Everybody you see in here tonight,I Get High,50 Cent
216,Doin' the same thing so why you keep playa hatin' on me,I Get High,50 Cent
217,Can I get high without you botherin' me?,I Get High,50 Cent
218,[Chorus: x2],I Get High,50 Cent
219,La la la la. I be smokin',I Get High,50 Cent
220,It hitten me right I'll be loakin',I Get High,50 Cent
221,Them bullshit trees you be rollin',I Get High,50 Cent
222,"Barely give you a buzz, me I get high",I Get High,50 Cent
223,"I admit I got a problem, I keep comin' back for these",I Get High,50 Cent
224,Dodo bags there not your yak or your sack o' seeds,I Get High,50 Cent
225,I chill sit back on the sofa and relax my knees,I Get High,50 Cent
226,And roll one up loose enough to make the backwards breathe,I Get High,50 Cent
227,"I blow a heavy load, you kids attract some G's.",I Get High,50 Cent
228,"Cause I'm a smoker, too much o' this would choke ya'",I Get High,50 Cent
229,"I don't mean to provoke ya, but I'm a bad influence",I Get High,50 Cent
230,The musician can't operate without his instruments,I Get High,50 Cent
231,My recent success gradually got your bitch convinced,I Get High,50 Cent
232,Haters mad they can't look inside cause I pitched the tints,I Get High,50 Cent
233,I enter the club with baggies of that chocolate,I Get High,50 Cent
234,Second-hand smoke will make a nigga wanna start shit.,I Get High,50 Cent
235,Sometimes I wonder where the niggas from the start went,I Get High,50 Cent
236,Raise up a lighter and f*ck up the whole apartment.,I Get High,50 Cent
237,It's just one of the things I do in my spare time,I Get High,50 Cent
238,My bad habits ain't private so I'm gon' share mine.,I Get High,50 Cent
239,[Chorus: x2],I Get High,50 Cent
240,See they put their hands out cause of the way shit been,I Get High,50 Cent
241,I say you niggas ain't smokin' if you don't chip in.,I Get High,50 Cent
242,Listen. I waited long for these rocks to glisten,I Get High,50 Cent
243,From that one-room pad without a pot to piss in,I Get High,50 Cent
244,Although betrayal is not forgiven,I Get High,50 Cent
245,I do this for my niggas locked up that's comin' home to lobster livin',I Get High,50 Cent
246,Hopin' the cops forbiddin',I Get High,50 Cent
247,I'm bout to buy momma her own mansion,I Get High,50 Cent
248,Just so I could see her pop the ribbon.,I Get High,50 Cent
249,"That Cali bud's special, so special I held the blunt so long",I Get High,50 Cent
250,"Snoop had to tell me ""Pass the weed, Nephew""",I Get High,50 Cent
251,F*ck rap I'm the wrong one to get pissed off,I Get High,50 Cent
252,Cause the pope'll make you jump like criss cross.,I Get High,50 Cent
253,"My nigga dead and it's hard to let go,",I Get High,50 Cent
254,"So I'm blowin' on that wet dough, same color as Gecko",I Get High,50 Cent
255,Follow hood codes and everybody in the Sentinel,I Get High,50 Cent
256,We gas 'em F*ck 'em and Pass 'em what you expect hoe?,I Get High,50 Cent
257,[Chorus: x2],I Get High,50 Cent
258,Said you want to blow with the best of them,I Get High,50 Cent
259,Yes yes I bested them,I Get High,50 Cent
260,Blazed up the purple palm tree,I Get High,50 Cent
261,I told you don't mess with them,I Get High,50 Cent
262,I warned them new testament,I Get High,50 Cent
263,Do you wanna smoke with me? (do you wanna),I Get High,50 Cent
264,"Weed rollin', G-strollin', bad-mouthin', mofucker",I Get High,50 Cent
265,"Law breakin' Pimp, slappin niggas for the f*ck of it",I Get High,50 Cent
266,Hip-hop an zip lock an rip rockin' gang banger,I Get High,50 Cent
267,"Thought you was an actor, thought I was a singer",I Get High,50 Cent
268,Thought about ridin' but you say you wanna hang tough,I Get High,50 Cent
269,D-P-G-Unit sounds like danger,I Get High,50 Cent
270,You might wanna manage your anger,I Get High,50 Cent
271,Hang with us and stop smokin' on the same stuff,I Get High,50 Cent
272,Now lay back on the loft,I Get High,50 Cent
273,This new weed that I got I call it face-off,I Get High,50 Cent
274,"Cause it'll blow your face off and that's a figure of speech,",I Get High,50 Cent
275,"My niggas a beast, on me from the west to the east, preach",I Get High,50 Cent
276,[Chorus: x2],I Get High,50 Cent
277,Sha da da,I Get High,50 Cent
278,"Adrenaline pumping, heart pacing, racing, altercations, we lit",Pieces,50 Cent
279,"Blood drip stain the ground, bug it down, you hit",Pieces,50 Cent
280,"Same hood, different day, same whip, different clip, letting off",Pieces,50 Cent
281,Somehow we end up in the same shit,Pieces,50 Cent
282,And she don't f*ck with niggas 'cause niggas is the reason,Pieces,50 Cent
283,She got herself inside of this situation in the first place,Pieces,50 Cent
284,Brooklyn murder lathers a birth place,Pieces,50 Cent
285,"Facing the city, quoting Biggie all on our worst days",Pieces,50 Cent
286,I used to take the train with her so none of these lames give her the danger,Pieces,50 Cent
287,Living from where she was at was a plain picture,Pieces,50 Cent
288,I used to paint pictures on how we could gain riches together,Pieces,50 Cent
289,"Instead of listen, she just kinda blew me off",Pieces,50 Cent
290,Paid it no mind but it kind of just threw me off,Pieces,50 Cent
291,"I guess I figured out, everybody wants riches and them cars",Pieces,50 Cent
292,But she just wanted a better family,Pieces,50 Cent
293,"Because her parents divorced early, her papa, he was taken by the force",Pieces,50 Cent
294,Mother on crack and she never had time to bathe us,Pieces,50 Cent
295,"Then she gave her to her uncle, her brother played the saviour",Pieces,50 Cent
296,Until the day he started datin' this chick,Pieces,50 Cent
297,That had put him up on mad pills and fucking up mad bills,Pieces,50 Cent
298,She told me that one night he had got so fucked up,Pieces,50 Cent
299,"He fell asleep on his sofa, then woke up a new persona",Pieces,50 Cent
300,And walked inside of her room and told her remove her clothes,Pieces,50 Cent
301,"And forcefully started choking her, telling her not to move",Pieces,50 Cent
302,"'Fore she could even finish, she broke out in tears and did it",Pieces,50 Cent
303,"Told me that for years, this night was a repetition a feeling of fear",Pieces,50 Cent
304,"That she couldn't seem exit or quit it, the feeling was there",Pieces,50 Cent
305,"Started talking lower and she told me, ""Come here""",Pieces,50 Cent
306,She said she had to make choices,Pieces,50 Cent
307,"So she got involved with niggas that make noise with them thangs, you feel",Pieces,50 Cent
308,Ran off in her uncle's spot with the stainless steel,Pieces,50 Cent
309,Put the burner to his face with the aim to kill,Pieces,50 Cent
310,"And said, she don't f*ck with niggas, 'cause niggas is the reason",Pieces,50 Cent
311,She got herself inside of this situation in the first place,Pieces,50 Cent
312,Figured that this intimidation was the worst case,Pieces,50 Cent
313,She sat back and blew six in that boy face,Pieces,50 Cent
314,"I want you, my dear",Pieces,50 Cent
315,"No, I won't leave you lonely",Pieces,50 Cent
316,You hold your head up high,Pieces,50 Cent
317,I won't let go 'cause I can't leave you lonely,Pieces,50 Cent
318,Can't leave you lonely,Pieces,50 Cent
319,Can't leave you lonely,Pieces,50 Cent
320,Can't leave you lonely,Pieces,50 Cent
321,He don't f*ck with niggas 'cause niggas is the reason,Pieces,50 Cent
322,He got himself inside of this situation in the first place,Pieces,50 Cent
323,He had no father figure,Pieces,50 Cent
324,He told me that his papa got shot in the face,Pieces,50 Cent
325,And he can't wait to find out who his killer,Pieces,50 Cent
326,He dedicated his life and hours in notice to find out who had a motive to kill his only father,Pieces,50 Cent
327,"He felt, it had to be somebody close",Pieces,50 Cent
328,It couldn't be somebody far away that didn't know 'im,Pieces,50 Cent
329,But take this pardon,Pieces,50 Cent
330,"When he was younger, he used to roll with his cousin",Pieces,50 Cent
331,The woman that used to show him the ropes,Pieces,50 Cent
332,"She used to tell him, don't ever let no nigga or woman touch her",Pieces,50 Cent
333,"And if somebody do, then all they would hear is the baka baka baka baka",Pieces,50 Cent
334,"One day, he was on the block rolling",Pieces,50 Cent
335,"Then, this crack fiend woman came up to him and told him",Pieces,50 Cent
336,"That she was his mother, man, that shit had him frozen",Pieces,50 Cent
337,"He ain't want to believe her 'til she said, ""Boy, you got a birthmark above your scrotum",Pieces,50 Cent
338,"A scar up on your eye, came from when you was four, from when you fell off in the road""",Pieces,50 Cent
339,"At that point, he looked at her face and he froze",Pieces,50 Cent
340,"She told him hold on, it's something she gotta show him",Pieces,50 Cent
341,"She says to him, ""I was gon' wait until you got older",Pieces,50 Cent
342,"But something was on my mind, was pressing, I had to show you",Pieces,50 Cent
343,The whole block know me and the whole block know you,Pieces,50 Cent
344,"The whole block been knew this story but they ain't told you""",Pieces,50 Cent
345,"His mom says to him, ""I hope you know your pap was a good man",Pieces,50 Cent
346,But he just had some nonsense to him,Pieces,50 Cent
347,"Huh, well, one night, he's fucked up on the pills",Pieces,50 Cent
348,"I'm tryna tell him stop, but everything I'm saying fails",Pieces,50 Cent
349,"You see, your lil' cousin out in Brooklyn will be relieved",Pieces,50 Cent
350,I know she love you but the story's more deeper,Pieces,50 Cent
351,"Uh, you see, your father used to be a creeper",Pieces,50 Cent
352,"He used to f*ck her, used to touch her, used to beat her",Pieces,50 Cent
353,"Used to leave her, so confused, she would lace an old poke and reefer",Pieces,50 Cent
354,"Wait, I know you wanna interrupt but this get deeper",Pieces,50 Cent
355,You've been living this mission,Pieces,50 Cent
356,"You tryna figure out who's the nigga or the perpetrator of killing your pops, nigga",Pieces,50 Cent
357,"When your cousin is the reason, he got shot nigga",Pieces,50 Cent
358,"She put six shots in him out the Glock, nigga""",Pieces,50 Cent
359,This anger was dwelling all on his mind,Pieces,50 Cent
360,"He didn't know what to do, he started gripping his nine and uh",Pieces,50 Cent
361,"Before he knew, he aimed it up at his momma and uh",Pieces,50 Cent
362,"He shot her right in his spine, he said",Pieces,50 Cent
363,"""This is why, my life has been full of lies",Pieces,50 Cent
364,"Don't nobody care for me, f*ck it, what's the use in trying?",Pieces,50 Cent
365,"This Glock on my side, if I put it to my ma",Pieces,50 Cent
366,"I know that I'ma die, but in Heaven, I'd be alive""",Pieces,50 Cent
367,"Adrenaline pumping, heart pacing, racing, altercations, we lit",Pieces,50 Cent
368,"Blood drip stain the ground, bug it down, you hit",Pieces,50 Cent
369,"Same hood, different day, same whip, different clip, letting off",Pieces,50 Cent
370,Somehow we end up in the same shit,Pieces,50 Cent
371,"Stunt, get jumped on, slash the dumped-ons",Pieces,50 Cent
372,Same block you pump on is the spot you get slumped on,Pieces,50 Cent
373,"Tory told me the story, it sounded a little crazy",Pieces,50 Cent
374,"A little Nas, a little 2Pac, Brenda's having a baby",Pieces,50 Cent
375,How much pressure can you take 'fore you snap or break? Love turn to hate?,Pieces,50 Cent
376,"F*ck shit or fake, you next move may raise the murder rate",Pieces,50 Cent
377,"From average to savage, to semi-automatics",Pieces,50 Cent
378,It's tragic how the static'll have us going at it,Pieces,50 Cent
379,"I want you, my dear",Pieces,50 Cent
380,"No, I won't leave you lonely",Pieces,50 Cent
381,You hold your head up high,Pieces,50 Cent
382,I won't let go 'cause I can't leave you lonely,Pieces,50 Cent
383,Can't leave you lonely,Pieces,50 Cent
384,Can't leave you lonely,Pieces,50 Cent
385,Can't leave you lonely,Pieces,50 Cent
386,"Coming up I was confused, my mommy kissing a girl",Hate It or Love It,50 Cent
387,Confusion occurs coming up in the cold world,Hate It or Love It,50 Cent
388,"Daddy ain't around, probably out committing felonies",Hate It or Love It,50 Cent
389,"My favorite rapper used to sing, ""Check check out My Melody""",Hate It or Love It,50 Cent
390,"I wanna live good, so shit I sell dope",Hate It or Love It,50 Cent
391,"For a four finger ring, one of them gold ropes",Hate It or Love It,50 Cent
392,Nana told me if I passed I'd get a sheepskin coat,Hate It or Love It,50 Cent
393,"If I can move a few packs I'd get the hat, now that'd be dope",Hate It or Love It,50 Cent
394,Tossed and turned in my sleep that night,Hate It or Love It,50 Cent
395,"Woke up the next mornin, niggas had stole my bike",Hate It or Love It,50 Cent
396,"Different day, same shit, ain't nothing good in the hood",Hate It or Love It,50 Cent
397,I'd run away from this bitch and never come back if I could,Hate It or Love It,50 Cent
398,"Hate it or love it, the underdog's on top",Hate It or Love It,50 Cent
399,And I'm gon' shine homey until my heart stop,Hate It or Love It,50 Cent
400,"(Go 'head envy me, I'm rap's M.V.P",Hate It or Love It,50 Cent
401,"And I ain't going nowhere, so you can get to know me)",Hate It or Love It,50 Cent
402,"Hate it or love it, the underdog's on top",Hate It or Love It,50 Cent
403,And I'm gon' shine homey until my heart stop,Hate It or Love It,50 Cent
404,"(Go 'head envy me, I'm rap's M.V.P",Hate It or Love It,50 Cent
405,"And I ain't going nowhere, so you can get to know me)",Hate It or Love It,50 Cent
406,(G-G-G-G-G-Unit!) On the grill of my lowrider,Hate It or Love It,50 Cent
407,"Guns on both sides, right above the gold wires",Hate It or Love It,50 Cent
408,"I'll fo'-five 'em, kill a nigga on my song",Hate It or Love It,50 Cent
409,"And really do it, that's the true meaning of a ghostwriter",Hate It or Love It,50 Cent
410,Ten G's 'll take your daughter out of Air Forces,Hate It or Love It,50 Cent
411,"Believe you me homey, I know all about losses",Hate It or Love It,50 Cent
412,"I'm from Compton, wear the wrong colors, be cautious",Hate It or Love It,50 Cent
413,One phone call'll have your body dumped in Marcy,Hate It or Love It,50 Cent
414,"I stay strapped like car seats, been banging",Hate It or Love It,50 Cent
415,Since my lil' nigga Rob got killed for his Barkleys,Hate It or Love It,50 Cent
416,"That's ten years, I told Pooh in ninety-five",Hate It or Love It,50 Cent
417,I'll kill you if you try me for my Air Max 95's,Hate It or Love It,50 Cent
418,Told Banks when I met him I'mma ride,Hate It or Love It,50 Cent
419,"And if I gotta die, I'd rather homicide",Hate It or Love It,50 Cent
420,I ain't have 50 cent when my grandmama died,Hate It or Love It,50 Cent
421,Now I'm going back to Cali with my Jacob on,Hate It or Love It,50 Cent
422,See how time fly?,Hate It or Love It,50 Cent
423,"Hate it or love it, the underdog's on top",Hate It or Love It,50 Cent
424,And I'm gon' shine homey until my heart stop,Hate It or Love It,50 Cent
425,"(Go 'head envy me, I'm rap's M.V.P",Hate It or Love It,50 Cent
426,"And I ain't going nowhere, so you can get to know me)",Hate It or Love It,50 Cent
427,"Hate it or love it, the underdog's on top",Hate It or Love It,50 Cent
428,And I'm gon' shine homey until my heart stop,Hate It or Love It,50 Cent
429,"(Go 'head envy me, I'm rap's M.V.P",Hate It or Love It,50 Cent
